"Volume","File","Status","SizeMB","Url"
"00_All_PDFs_Unsorted_Page_Changed","01 - Chapter 1 (General Principles).pdf","OK","2,9","https://www.sartsma.co.za/_files/ugd/4f7773_8d9d2848a678403385b0cc6ebfafee76.pdf"
"00_All_PDFs_Unsorted_Page_Changed","02 - Chapter 2 (Regulatory Signs) and Chapter 3 (Warning Signs).pdf","OK","9,25","https://www.sartsma.co.za/_files/ugd/4f7773_9b8f22853587453988ccd12b5309015b.pdf"
"00_All_PDFs_Unsorted_Page_Changed","03 - Chapter 4 (Guidance Signs) and Chapter 5 (Information Signs).pdf","OK","23,8","https://www.sartsma.co.za/_files/ugd/4f7773_5aa3c14d0a584891b578fcb1e8e94289.pdf"
"00_All_PDFs_Unsorted_Page_Changed","04 - Chapter 6 (Traffic Signals).pdf","OK","0,36","https://www.sartsma.co.za/_files/ugd/4f7773_67e247d395a34ef7945eec516b0b4743.pdf"
"00_All_PDFs_Unsorted_Page_Changed","05 - Chapter 7 (Road Markings).pdf","OK","8,67","https://www.sartsma.co.za/_files/ugd/4f7773_c4e3f39ec22848b08d31fff846ce53ed.pdf"
"00_All_PDFs_Unsorted_Page_Changed","06 - Chapter 8 (Navigational Aids) and Chapter 9 (Variable Message Signs).pdf","OK","3,44","https://www.sartsma.co.za/_files/ugd/4f7773_83ee4f38f4e846938c8d0661ede89ec4.pdf"
"00_All_PDFs_Unsorted_Page_Changed","07 - Chapter 10 (Glossary of Terms) and Chapter 11 (Index).pdf","OK","0,54","https://www.sartsma.co.za/_files/ugd/4f7773_dd620d4df9d749e088d78c407fb1d23f.pdf"
"00_All_PDFs_Unsorted_Page_Changed","08 - Chapter 1 (Introduction).pdf","OK","2,6","https://www.sartsma.co.za/_files/ugd/4f7773_8704dd0353704ee1bb2953aa64e0629f.pdf"
"00_All_PDFs_Unsorted_Page_Changed","09 - Chapter 2 (Road Marking Application).pdf","OK","26,93","https://www.sartsma.co.za/_files/ugd/4f7773_19b47cc1263549bbb1e13e4e0a583295.pdf"
"00_All_PDFs_Unsorted_Page_Changed","10 - Chapter 3 (Regulatory and Warning Signs and Marking Applications).pdf","OK","11,81","https://www.sartsma.co.za/_files/ugd/4f7773_1c3aed5d7ce74043925bd7d05c37fb94.pdf"
"00_All_PDFs_Unsorted_Page_Changed","11 - Chapter 4 (Tourism Signing) , Chapter 5 (Freeway Signing) and Chapter 6 (Toll Route Signing).pdf","OK","15,9","https://www.sartsma.co.za/_files/ugd/4f7773_fa2d231730b54583ac0a71b57ddfd98f.pdf"
"00_All_PDFs_Unsorted_Page_Changed","12 - Chapter 7 (Signing for Railway Crossings) and Chapter 8 (Public Transport Signing).pdf","OK","6,02","https://www.sartsma.co.za/_files/ugd/4f7773_db3fd91dfcc54bed8ed8342d6b90f9b3.pdf"
"00_All_PDFs_Unsorted_Page_Changed","13 - Chapter 9 (Urban Guidance Signing) and ​ Chapter 10 (Rural Junction Signing).pdf","OK","7,4","https://www.sartsma.co.za/_files/ugd/4f7773_753141c9e2a64f178508a6f58a7f3c96.pdf"
"00_All_PDFs_Unsorted_Page_Changed","14 - Chapter 11 (Signing for Heavy Vehicles) and Chapter 12 (Signing for Traffic Calming).pdf","OK","12,62","https://www.sartsma.co.za/_files/ugd/4f7773_4faa831232284ccab81df8213a4f477d.pdf"
"00_All_PDFs_Unsorted_Page_Changed","15 - Chapter 13 (Roadworks Signing.pdf","OK","28,47","https://www.sartsma.co.za/_files/ugd/4f7773_949ab77fe3aa4c9e889c03bbe5efdc32.pdf"
"00_All_PDFs_Unsorted_Page_Changed","16 - Chapter 14 (Signing for Pedestrian Environments).pdf","OK","6,21","https://www.sartsma.co.za/_files/ugd/4f7773_e83f9054b3d341dcabfb021b8f827987.pdf"
"00_All_PDFs_Unsorted_Page_Changed","17 - Chapter 15 (Structural Design of Road Signs) and Chapter 16 (Road Signs Management).pdf","OK","10,99","https://www.sartsma.co.za/_files/ugd/4f7773_ee9626f9673c4b49b2576f90134b0e7c.pdf"
"00_All_PDFs_Unsorted_Page_Changed","18 - Chapter 17 (Sign Face Materials), Chapter 18 (Road Marking Materials) and Chapter 19 (Variable Message Si.pdf","OK","9,25","https://www.sartsma.co.za/_files/ugd/4f7773_236e9e8d57ac4d629e0afee323484ccf.pdf"
"00_All_PDFs_Unsorted_Page_Changed","19 - Introduction.pdf","OK","0,4","https://www.sartsma.co.za/_files/ugd/04fece_38e703ca51ad407aa95db05f3cd8a897.pdf"
